http://ir.shutterfly.com/investor-relations, 8, HTTP Error 404: Not Found
https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m, 12, HTTP Error 404: Not Found
https://waterscorporation.gcs-web.com/events-and-presentations, 13, HTTP Error 404: Not Found
http://ir.themeetgroup.com/Presentations, 40, HTTP Error 404: Not Found
https://www.pumabiotechnology.com/ir_events.html, 61, 'utf-8' codec can't decode byte 0xae in position 754: invalid start byte
http://investors.potbelly.com/events-presentations, 62, HTTP Error 404: Not Found
https://sparton.com/press-room/, 64, HTTP Error 403: Forbidden
https://redrobin.gcs-web.com/calendar-events, 83, HTTP Error 401: Unauthorized
https://navios.gcs-web.com/event-calendar, 99, HTTP Error 403: Forbidden
http://www.interparfumsinc.com/ir_investor_presentation.html, 102, HTTP Error 404: Not Found
https://investors.pluralsight.com/news-and-events/events, 103, HTTP Error 404: Not Found
https://benitec.com/for-investors/events-and-presentations/, 109, HTTP Error 406: Not Acceptable
https://axsometherapeuticsinc.gcs-web.com/news-releases/upcoming-events?field_nir_news_date_value[min]=, 113, HTTP Error 404: Not Found
https://expworldholdings.com/presentation/, 174, HTTP Error 404: Not Found
http://investors.myokardia.com/events-and-presentations, 183, HTTP Error 404: Not Found
https://investors.saic.com/feed/Event.svc/GetEventList?apiKey=BF185719B0464B3CB809D23926182246&LanguageId=1&eventSelection=0&eventDateFilter=0&includeFinancialReports=true&includePresentations=true&includePressReleases=true&sortOperator=1&pageSize=-1&pageNumber=0&tagList=&includeTags=true&year={YYYY}&excludeSelection=1, 199, HTTP Error 400: Bad Request
https://www.amtd.com/investor-relations/calendar/default.aspx, 223, HTTP Error 404: Not Found
https://www.pepsico.com/investors/financial-information/events-and-presentations, 247, HTTP Error 403: Forbidden
https://www.momentapharma.com/News-or-Events/events-and-presentations/default.aspx, 335, HTTP Error 404: Not Found
https://investors.rrts.com/events-and-presentations, 354, HTTP Error 401: Unauthorized
https://www.pepsico.com/investors/financial-information/financial-news, 388, HTTP Error 403: Forbidden
https://ir.seacorholdings.com/events-presentations, 406, HTTP Error 404: Not Found
https://vandapharmaceuticalsinc.gcs-web.com/events-and-presentations/, 411, HTTP Error 403: Forbidden
https://teleflexincorporated.gcs-web.com/calendar-of-events, 450, HTTP Error 404: Not Found
